product_id,merchant_category,price,brand_name,upc,ean,mpn,isbn,model_number,product_name,description,specifications,promotional_text,language,deep_link,merchant_thumb,image_url,delivery_time,valid_from,valid_to,currency,delivery_cost,web_offer,pre_order,in_stock,stock_quantity,is_for_sale,warranty,condition,product_type,parent_product_id,commission_group,last_updated,dimensions,colour,keywords,custom1,custom2,custom3,custom4,custom5,saving,delivery_restrictions,reviews,average_rating,rating,alternate_image,large_image,basket_link
66f6b6b32e7ed,Apparel & Accessories > Miscellaneous,58.00,Sarah Alexis,,,66f6b6b32e7ed,,,Ashley Silk Neckerchief,"This elegant Neckerchief is crafted from high-quality silk, providing a luxurious and soft feel against the skin. Its versatile size and stylish design make it a perfect accessory to elevate any outfit, adding a touch of sophistication and refinement. The Neckerchief's lightweight and flexible fabric allow it to be worn as a chic hair accessory or a classic neck scarf, making it a versatile addition to any fashion-forward wardrobe. Print by Danika Herrick.",,,en_US,https://www.sarahalexis.com/products/ashley-neckerchief,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ashley_neckerchief_green.png?v=1740609467,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ashley_neckerchief_green.png?v=1740609467,,2023-05-07T16:53:09-04:00,,USD,,,,1,26,1,,new,Apparel & Accessories > Miscellaneous,,,2025-09-23T15:29:55-04:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9525-Edit_websize.jpg?v=1740609467,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/IMG_1947copy.jpg?v=1740670785,https://www.sarahalexis.com/products/ashley-neckerchief
66f6b6ad2572d,Apparel & Accessories > Miscellaneous,58.00,Sarah Alexis,,,66f6b6ad2572d,,,Ashley Silk Neckerchief,"Featuring our Signature Fall Floral that's reminiscent of a traditional block print with a beautiful watercolor background.
This 100% Silk neckerchief is perfect to wear around the neck or as a hair accessory and elevates any outfit.",,,en_US,https://www.sarahalexis.com/products/ashley-neckerchief-1,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/neckerchief-2FINAL.jpg?v=1731521127,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/neckerchief-2FINAL.jpg?v=1731521127,,2024-09-24T07:11:43-04:00,,USD,,,,1,5,1,,new,Apparel & Accessories > Miscellaneous,,,2025-09-23T15:29:56-04:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/withneckerchief-1.jpg?v=1727129373,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/withneckerchief-1.jpg?v=1727129373,https://www.sarahalexis.com/products/ashley-neckerchief-1
66f6b6b11e876,Apparel & Accessories > Clothing > Shirts & Tops,258.00,Sarah Alexis,,,66f6b6b11e876,,,Carey Piped Cashmere Sweater,"Introducing the Carey sweater, a perfect fall wardrobe staple. This lightweight V-neck sweater is made from super soft 100% cashmere.",,,en_US,https://www.sarahalexis.com/products/carey-piped-cashmere-sweater,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioCamelCareySweaterFront.jpg?v=1727293087,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioCamelCareySweaterFront.jpg?v=1727293087,,2024-09-24T06:56:38-04:00,,USD,,,,1,2,1,,new,Apparel & Accessories > Clothing > Shirts & Tops,,,2025-09-30T03:25:51-04:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioCamelCareySweaterSide.jpg?v=1727293112,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioCamelCareySweaterFront.jpg?v=1727293087,https://www.sarahalexis.com/products/carey-piped-cashmere-sweater
66f6b6b0e244f,Apparel & Accessories > Clothing > Shirts & Tops,258.00,Sarah Alexis,,,66f6b6b0e244f,,,Carey Piped Cashmere Sweater,"Introducing the Carey sweater, a perfect fall wardrobe staple. This lightweight V-neck sweater is made from super soft 100% cashmere.",,,en_US,https://www.sarahalexis.com/products/carey-piped-cashmere-sweater-1,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioEmeraldCareySweaterFront.jpg?v=1727293148,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioEmeraldCareySweaterFront.jpg?v=1727293148,,2024-09-24T06:44:51-04:00,,USD,,,,1,1,1,,new,Apparel & Accessories > Clothing > Shirts & Tops,,,2025-09-30T03:25:52-04:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/3qtrview-1.jpg?v=1731520884,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/StudioEmeraldCareySweaterFront.jpg?v=1727293148,https://www.sarahalexis.com/products/carey-piped-cashmere-sweater-1
3004-01-LPD,Apparel & Accessories > Clothing > Dresses,375.00,Sarah Alexis,53962549,,3004-01-LPD,,,Leigh Polo Dress,The Leigh Polo Dress is our take on a classic. The beautiful silk charmeuse elevates what could’ve been a casual style into something wholly different. This is the piece you’ll reach for when you want to look effortlessly pulled together.,,,en_US,https://www.sarahalexis.com/products/leigh-polo-dress,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9627-Edit_websize.jpg?v=1683491954,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9627-Edit_websize.jpg?v=1683491954,,2022-12-21T19:14:43-05:00,,USD,,375.00,,0,0,1,,new,Apparel & Accessories > Clothing > Dresses,,,2024-11-21T03:31:07-05:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9605-Edit_websize.jpg?v=1683491954,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9627-Edit_websize.jpg?v=1683491954,https://www.sarahalexis.com/products/leigh-polo-dress
3005.01-01-LPD-P,Apparel & Accessories > Clothing > Dresses,375.00,Sarah Alexis,46277941,,3005.01-01-LPD-P,,,Leigh Polo Dress - Print,The Leigh Polo Dress is our take on a classic. The beautiful silk charmeuse elevates what could’ve been a casual style into something wholly different. This is the piece you’ll reach for when you want to look effortlessly pulled together.,,,en_US,https://www.sarahalexis.com/products/leigh-polo-dress-print,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A0553-Edit_websize.jpg?v=1684429151,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A0553-Edit_websize.jpg?v=1684429151,,2023-01-05T21:52:12-05:00,,USD,,375.00,,0,0,1,,new,Apparel & Accessories > Clothing > Dresses,,,2024-11-22T06:50:50-05:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A0543-Edit_websize.jpg?v=1684429151,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A0415-Edit_websize.jpg?v=1683899875,https://www.sarahalexis.com/products/leigh-polo-dress-print
3006-01-NS,Apparel & Accessories > Miscellaneous,122.50,Sarah Alexis,77604149,,3006-01-NS,,,Nicole Silk Short,"Nicole is a feminine, flirty, high waisted short designed to be effortlessly chic. It features a flat front waistband with covered elastic in the back, a ruffled hem, and slant front pockets.",,,en_US,https://www.sarahalexis.com/products/nicole-high-waisted-short,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/4I5A8877-Edit_websize.jpg?v=1688664918,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/4I5A8877-Edit_websize.jpg?v=1688664918,,2023-01-05T21:58:38-05:00,,USD,,245.00,,1,9,1,,new,Apparel & Accessories > Miscellaneous,,,2024-11-13T15:56:56-05:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/4I5A8924-Edit_websize.jpg?v=1688664918,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/4I5A8909-Edit_websize.jpg?v=1683491701,https://www.sarahalexis.com/products/nicole-high-waisted-short
3006.01-01-NS-P,Apparel & Accessories > Miscellaneous,122.50,Sarah Alexis,79602997,,3006.01-01-NS-P,,,Nicole Silk Short - Print,"Nicole is a feminine, flirty, high waisted short designed to be effortlessly chic. It features a flat front waistband with covered elastic in the back, a ruffled hem, and slant front pockets.",,,en_US,https://www.sarahalexis.com/products/nicole-high-waisted-short-print,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9873-Edit_websize_1.jpg?v=1688664792,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9873-Edit_websize_1.jpg?v=1688664792,,2023-01-05T21:58:55-05:00,,USD,,245.00,,1,9,1,,new,Apparel & Accessories > Miscellaneous,,,2024-11-19T19:57:48-05:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9927-Edit.jpg?v=1688665303,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/E15A9873-Edit_websize_1.jpg?v=1688664792,https://www.sarahalexis.com/products/nicole-high-waisted-short-print
3001-01-RB,Apparel & Accessories > Clothing > Shirts & Tops,238.00,Sarah Alexis,57599797,,3001-01-RB,,,Rachel Blouse,"The closet hero that's one of our best sellers! A perfect wardrobe staple to wear year-round in a 100% cotton that's not see-through and perfectly appropriate for the office or lunch with friends.

Collared Neckline
3/4 Sleeves with Buttoned Cuffs
Functional Neckline Ties
High - Low Hem",,,en_US,https://www.sarahalexis.com/products/rachel-3-qtr-sleeve-popover,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ties-1.jpg?v=1727292945,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ties-1.jpg?v=1727292945,,2022-12-21T19:03:53-05:00,,USD,,,,1,3,1,,new,Apparel & Accessories > Clothing > Shirts & Tops,,,2025-09-30T03:25:51-04:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/IMG_0255-1.jpg?v=1731521690,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/ties-1.jpg?v=1727292945,https://www.sarahalexis.com/products/rachel-3-qtr-sleeve-popover
66f6b6b446dac,Apparel & Accessories > Clothing > Shirts & Tops,268.00,Sarah Alexis,,,66f6b6b446dac,,,Rachel Silk Blouse,"Elevate your wardrobe with our classic Rachel Blouse, now offered in a luxurious 100% silk charmeuse. Available in a cardinal red that’s a perfect option for holiday events and celebrations. This blouse is your new go-to for a blend of sophistication and modern flair.

Collared Neckline
3/4 Sleeves with Buttoned Cuffs
Functional Neckline Ties
High - Low Hem",,,en_US,https://www.sarahalexis.com/products/rachel-silk-blouse-cranberry,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-7065.jpg?v=1727173640,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-7065.jpg?v=1727173640,,2024-09-24T06:29:13-04:00,,USD,,,,1,4,1,,new,Apparel & Accessories > Clothing > Shirts & Tops,,,2024-12-09T15:48:21-05:00,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/SarahAlexisBrand-7046.jpg?v=1727173640,https://cdn.shopify.com/s/files/1/0679/7823/2117/files/IMG_1795.jpg?v=1727173640,https://www.sarahalexis.com/products/rachel-silk-blouse-cranberry
